# Vision-pass cost ledger: images read, one row per costed unit.
#
# Read by scripts/vision/volume_summary.py. Append a row at each pass's close-out.
# A unit is normally one title; several titles joined with " | " share one row
# when the pass only recorded their cost together. `recorded` is the date of the
# findings section the figure comes from. Lines starting with # are skipped.
#
# `calls` and `tokens_m` are the OTHER cost axis, PER TITLE: the API calls and
# the millions of cache-read tokens credited to the title from the session
# transcripts. Context re-reading is ~90% of token consumption, so these move
# the bill in a way images/page does not. Never type them in: close-out runs
#     uv run --offline python scripts/vision/usage_census.py --by-title --write-ledger
# which fills them, and keeps a row's figures once its transcripts are pruned.
# Read them per page -- `usage_census.py --trend` gives the batch-by-batch view.
#
# `note` may contain commas and is always LAST for that reason. Never add a
# column after it.
volume,titles,pages,images,calls,tokens_m,recorded,note
20,City of Golden Roofs,26,49,191,62.9,2026-09-19,sixty-ninth batch (cap wedge is a PATCH on a black crown; 6 images on 048 alone to fix the construction, 1.88/page over the title)
20,Getting Thor,4,6,18,6.9,2026-09-19,sixty-ninth batch (Gyro solo with crows; no nephews, no cap key)
19,The Titanic Ants!,20,32,97,49.2,2026-09-19,sixty-ninth batch (quartered cap, wedges 100-700px; picnic guests and a scientist carry a third of the dialogue)
19,The Half-Baked Baker,10,31,169,50.2,2026-09-19,seventieth batch (3.10/page -- 13 of the 31 went on the splash and page 122 through re-cropping the same panels; the JUDGE ribbons cost 2 of their own)
19,Dodging Miss Daisy,10,18,70,35.8,2026-09-19,seventieth batch (boys bare-headed indoors and capped outdoors; one montage plus one stack per page)
20,The Money Well,26,36,162,112.1,2026-09-19,seventieth batch (Scrooge/Beagle Boys book, only 19 nephew calls in 26 pages; 25 montages and 11 follow-ups)
19,The Milkman,10,22,80,25.8,2026-09-19,seventy-first batch (a NIGHT story: a dark slate wash fills the blue band on 123 blobs and the clean roster blue prints on three panels only, so every nephew call needed a crown crop)
19,Mocking Bird Ridge,10,14,47,20.2,2026-09-19,seventy-first batch (boys bare-headed indoors on 151 and capped outdoors from 154; Donald's own cap is the roster blue at 5-20x a nephew's)
19,Old Froggie Catapult,10,13,33,18.0,2026-09-19,seventy-first batch (colourist clash: the dialogue names Louie and the boy wears red for five pages)
21,Dramatic Donald,10,10,34,19.0,2026-09-19,seventy-first batch (first title read from Vol. 21; no cap key at all, and the panels' roster blue is the sofa)
19,Water Ski Race,6,20,78,12.9,2026-09-20,seventy-second batch (NO nephew cap ink in the title -- plain white sailor caps in swim gear -- so the images went on tails and on telling Daisy from a boy)
20,The Golden River,27,56,162,74.2,2026-09-20,seventy-second batch (27pp Scrooge book with ~90 nephew groups; the 098 establishing page alone cost 9 images and the other 26 averaged 1.8)
20,The Know-It-All Machine,4,4,57,35.5,2026-09-20,seventy-second batch (Gyro one-pager set: no nephews at all, one page.png each and nothing else)
22,The Strange Shipwrecks,21,58,217,75.3,2026-09-20,seventy-third batch (first Vol. 22 title; the palette and the red/green swap cost the front third -- pages 030-034 took 25 of the 58 and the remaining 16 pages averaged 2.1)
22,The Fabulous Tycoon,5,13,31,14.4,2026-09-20,seventy-third batch (no nephews; the images went on Scrooge-versus-Donald and on four thought clouds the engines had stored as dialogue)
22,Gyro Goes for a Dip,4,7,56,30.6,2026-09-20,seventy-third batch (Gyro solo plus two dogs; four montages and three panels settled the whole title)
22,The Twenty-four Carat Moon,20,69,260,90.0,2026-09-20,seventy-fourth batch (the caps are only readable on 011-012 and the crew is helmeted from 013; 011 alone took 7 images and 012 took 6 on one balloon whose tail lands on an empty hatchway -- the other eighteen pages averaged 3.1)
22,The House on Cyclone Hill,4,7,36,18.7,2026-09-20,seventy-fourth batch (Gyro solo plus a Helper and a turtle; two montages settled the cloud-against-tail question for the whole title)
22,The Forbidium Money Bin,16,20,71,38.7,2026-09-20,seventy-fourth batch (Scrooge and Gyro only, and the yellow-against-green pressure suits make every moon panel a one-glance call -- the cheapest title of the batch and the longest)
21,Noble Porpoises,10,34,180,57.6,2026-09-21,seventy-fifth batch (the dearest of the four: the first Vol. 21 title with a readable cap key, so the splash and 037-039 took 14 images establishing that the construction is a thin coloured RIM and that the roster blue in this story is the sea -- the last seven pages averaged 2.6)
22,The Magic Ink,6,10,54,24.9,2026-09-21,seventy-fifth batch (the nephews are bare-headed in every panel, so every nephew call was forced; the images went on the pages, the two office signs and one SPLOOK the audit queried)
21,Tracking Sandy,10,20,116,71.3,2026-09-21,seventy-fifth batch (ten montages plus nine stacked crops; one 1.7x crop of 051 p3 settled the title-wide cap mapping and is the best-spent image of the batch)
21,The Littlest Chicken Thief,10,15,164,65.7,2026-09-21,seventy-fifth batch (the cheapest: the construction was already known from Tracking Sandy, so ten montages and five stacks covered the whole title)
21,The Beachcombers' Picnic,10,35,163,56.0,2026-09-21,"seventy-sixth batch (the dearest of the three: a new cap construction -- black cap with a coloured FRONT patch -- plus 071, an 8-image page where three nephew balloons all land tips in gaps between heads)"
21,Christmas in Duckburg,20,42,130,67.5,2026-09-21,"seventy-sixth batch (20 pages at 2.1: the cast is mostly adults, but 017 and 020 each took 6 establishing that Louie's green here is H111 and the H148 green is the Christmas tree)"
21,Rocket-Roasted Christmas Turkey,10,19,68,44.9,2026-09-21,"seventy-sixth batch (the cheapest: the boys are bare-headed for half the story and the military half is Donald against one officer at a time)"
21,The Master Mover,10,28,156,50.5,2026-09-21,"seventy-seventh batch (the dearest of the three and all of it front-loaded: five images on 077 alone to fix the quartered-beanie palette, after which the title ran at 2.3; a close-up cap at 2,528px nearly read as Donald's)"
21,Spring Fever,10,15,96,49.9,2026-09-21,"seventy-seventh batch (the cheapest per page in three batches: Donald is alone for four of the ten pages, and one 2.6x crop of 099 p6 fixed the palette for the whole title)"
22,The Flying Dutchman,21,36,124,64.1,2026-09-21,"seventy-seventh batch (21 pages at 1.71 on 21 montages and 15 stacks; a Scrooge story is mostly two adults, so the images went where three boys share a panel -- 092 p4 and 093 p1 between them named six)"
22,Pyramid Scheme,6,19,73,13.3,2026-09-22,"seventy-eighth batch (the dearest of the five and all of it front-loaded: four images on 104 p2 alone to find that this title prints its cap ink at 8-220px, an order of magnitude below the last three batches, so two of the three inks sit under capscan's 25px default floor)"
22,The Wishing Well,4,5,17,5.0,2026-09-22,"seventy-eighth batch (four montages and one stack: Gyro is alone for half of it and thinks rather than speaks, so the only questions were cloud-vs-balloon and which soldier)"
22,Return to Pizen Bluff,6,12,75,41.5,2026-09-22,"seventy-eighth batch (6 montages and 6 stacks; Donald wears a BLUE cap in the modern half at 700-2500px against nephew bands of 100-400, so every blue needed the head as well as the ink)"
22,Krankenstein Gyro,4,4,11,4.6,2026-09-22,"seventy-eighth batch (the cheapest row in the ledger: four montages and nothing else -- Gyro, his Helper and a hen, and every balloon settled at montage scale)"
22,The Money Champ,22,28,103,60.7,2026-09-22,"seventy-eighth batch (22 pages at 1.27 on 22 montages, 5 stacks and one 3x crop of 128 p2 -- the panel where the boys name themselves and the caps turn out to be swapped)"
22,His Handy Andy,4,11,83,29.0,2026-09-22,"seventy-ninth batch (2.75 per page, the dearest row of the PASS though not of the batch once Pizarro's re-read is counted: four montages and six stacks, because Scrooge wears a blue skipper's cap at 2200-2740px and half the cast are Barks' non-duck citizens, so nearly every speaker needed the figure as well as the balloon)"
22,The Firefly Tracker,4,7,34,12.1,2026-09-22,"seventy-ninth batch (four montages and three stacks; Gyro solo, but the cloud-vs-balloon test needed a 1x look at two whole panels before six thought labels could be left alone)"
22,The Prize of Pizarro,20,60,200,112.2,2026-09-22,"seventy-ninth batch. 26 images for the pass, then 34 more re-reading the unreviewed half and cropping all 47 flagged balloons after the review reported 18.6% corrections. Still came back 19.8% -- the cast is in identical armour from 155 and images do not fix that. The dearest title in the ledger and the worst corrected"
21,The Lovelorn Fireman,10,12,40,23.0,2026-09-22,"seventy-ninth batch (10 montages and 2 stacks, 1.20 per page; the one thing that needed looking at was Donald against Gladstone in the same maroon jacket, which the hair curl settles in a single 1x crop)"
21,The Floating Island,10,28,149,48.9,2026-09-23,"eightieth batch (the dearest of the three at 2.80: a Scrooge story whose decoys are all on the adults -- Donald wears a BLUE cap from p120 at 1000-5100px against nephew segments of 120-720px, and Scrooge's top hat carries a blue band -- so nearly every nephew call needed the head as well as the ink. 10 montages, 6 stacks and 12 crops, four of them 3x tail measurements)"
21,The Black Forest Rescue,10,18,79,35.3,2026-09-23,"eightieth batch (the cheapest per page in four batches: the nephews are in Junior Woodchuck uniform so cap_colour names nobody and no crop can help, and the only question per panel is duck-or-pig, which is legible at montage scale. 10 montages and 8 stacks, no single-panel crops at all)"
23,The Good Deeds,10,23,135,79.2,2026-09-23,"eightieth batch. FIRST TITLE EVER READ IN VOL. 23, so the palette came from scratch: a black beanie with the ink surviving only as a 30-600px sliver at the cap/skull join. 10 montages, 8 stacks and 5 crops; two crops were wasted re-cropping panels whose heads I had placed from a stack's coordinates instead of the panel's"
21,Jungle Hi-Jinks,14,23,100,21.9,2026-09-23,"eighty-first batch (page.png as the base view instead of a montage, plus 9 stacks and crops; the spend went on the red/green swap -- 138 p5-p7 and 139 p1-p2 needed tails and caps together to establish which boy the dialogue names -- and on 147, where six boys speak in one page)"
21,A Honey of a Hen,7,9,48,13.7,2026-09-23,"eighty-first batch (a Scrooge and Grandma Duck story; the boys speak on four of seven pages and capwide settled the H112 green without images. 7 pages and 2 stacks)"
21,The Flying Farmhand,8,11,50,17.0,2026-09-23,"eighty-first batch (7 pages, 1 stack and 3 crops; every cap read came from capscan and capwide off disk)"
21,The Sheepish Cowboys,7,15,46,5.9,2026-09-23,"eighty-second batch (page.png as base view plus 8 stacks and crops; the boys wear identical brown cowboy hats and are named by their neckerchiefs, which capscan read off disk every time)"
21,The Weather Watchers,7,14,48,15.1,2026-09-23,"eighty-second batch (a Gyro and Grandma Duck story with the boys on three pages; three of the 14 images went on one tail-less balloon on 166 p2 that never resolved)"
23,Black Wednesday,10,14,79,31.1,2026-09-23,"eighty-second batch (page.png plus 4 stacks; the boys are bare-headed indoors on 039 and 046, and every wedge was read by capscan off disk)"
23,The Watchful Parents,10,19,75,12.8,2026-09-23,"eighty-third batch (page.png plus 8 tail stacks and one bold grid; the boys' quartered caps printed 50-3,000px and every ink came from capwide off disk)"
23,The Wax Museum,10,15,47,13.4,2026-09-23,"eighty-third batch (page.png plus 5 stacks; the boys are bare-headed indoors and inside a suit of armour for four pages, and hold their caps on 050)"
24,The Paul Bunyan Machine,21,24,88,38.0,2026-09-23,"eighty-third batch (a Scrooge and Beagle Boys story; page.png alone on 18 of 21 pages, with 3 small crops)"
